cluster_id,size,auto_label,top_terms,month_distribution
1,888,"00, 10 days, 000 000, 000 word, 10 15","00, 10 days, 000 000, 000 word, 10 15, 03, 14 15, 110, 102, 1152, 18, 07, 1093691, 14 64, 12 month","{'2025-11': 184, '2025-05': 162, '2025-12': 141, '2025-07': 111, '2025-08': 79, '2025-06': 72, '2025-09': 71, '2025-10': 66, '2023-02': 1, '2025-02': 1}"
2,391,"00, 10, 10 12, 10 10, 1042","00, 10, 10 12, 10 10, 1042, 116, 09, 12 month, 120, 1078410, 10 following, 100, 10 9_layer4_topic_drift, 100 authors, 2026","{'2025-05': 84, '2025-11': 54, '2025-09': 53, '2025-07': 49, '2025-10': 43, '2025-08': 40, '2025-06': 36, '2025-12': 32}"
8,364,"00, 01, 07, 10 000, 05","00, 01, 07, 10 000, 05, 100 samples, 10 9_layer4_topic_drift, 10 days, 10 20, 100 participants, 110, 12 15, 1042, 177, 12 13","{'2025-09': 98, '2025-10': 54, '2025-05': 50, '2025-08': 40, '2025-07': 35, '2025-11': 35, '2025-06': 28, '2025-12': 24}"
44,332,"00, 04, 05, 000 000, 01","00, 04, 05, 000 000, 01, 10, 000 words, 10 times, 10 20, 10 participants, 02, 03, 1093691, 100 samples, 100","{'2025-10': 71, '2025-05': 53, '2025-11': 50, '2025-07': 47, '2025-08': 43, '2025-09': 27, '2025-06': 21, '2025-12': 20}"
31,287,"00, 02, 06, 000 000, 09","00, 02, 06, 000 000, 09, 10, 10 000, 07, 000 words, 10 years, 100, 10 times, 152, 10 participants, 130","{'2025-07': 80, '2025-05': 67, '2025-10': 33, '2025-06': 31, '2025-11': 27, '2025-09': 26, '2025-08': 23}"
29,262,"00, 10 orientations, 100k, 09, 1000","00, 10 orientations, 100k, 09, 1000, 10 9_layer4_topic_drift, 10 changes, 10 12, 000 maybe, 10, 10th, 12 13, 10 10, 106651, 100 participants","{'2025-09': 59, '2025-10': 44, '2025-11': 41, '2025-12': 39, '2025-08': 21, '2025-05': 20, '2025-07': 19, '2025-06': 17, '2025-02': 2}"
50,254,"00, 01, 10 orientations, 10 minutes, 10 11","00, 01, 10 orientations, 10 minutes, 10 11, 10 20, 10 days, 09, 10 participants, 10 following, 10 months, 10, 1093457, 10 years, 100 sample","{'2025-09': 54, '2025-11': 39, '2025-08': 33, '2025-07': 32, '2025-10': 29, '2025-05': 26, '2025-12': 21, '2025-06': 18, '2025-02': 2}"
17,229,"000 000, 000 maybe, 00, 000, 01","000 000, 000 maybe, 00, 000, 01, 06, 04, 10 traits, 10 days, 100 samples, 10 months, 101, 10 changes, 106651, 000 65","{'2025-10': 95, '2025-11': 37, '2025-08': 27, '2025-09': 23, '2025-05': 16, '2025-06': 16, '2025-07': 15}"
20,201,"00, 03, 100 authors, 20 000, 08","00, 03, 100 authors, 20 000, 08, 1st, 190, 14 64, 15, 20k, 134, 000 000, 128, 000 words, 10 11","{'2025-11': 106, '2025-10': 32, '2025-07': 23, '2025-12': 21, '2025-09': 15, '2025-08': 2, '2025-05': 2}"
54,196,"00, 06, 10 15, 07, 10 10","00, 06, 10 15, 07, 10 10, 10, 10 following, 102, 106651, 10 participants, 03, 05, 1093457, 000 65, 10 orientations","{'2025-05': 51, '2025-06': 50, '2025-07': 39, '2025-09': 27, '2025-08': 19, '2025-11': 4, '2025-10': 4, '2025-12': 2}"
