fine_cluster,macro_domain,fine_top_terms
1,0,"mode, listen mode, listen, buddy, henry, reflective mode, hermano mode, hermano, henry mode, default, chats, reflective, ll, switch, buddy mode, want, banter, short, like, response"
7,1,"layer, author, topic, authors, emotion, emotional, posts, nrc, cluster, pillar, csv, analysis, variance, drift, script, anticipation, run, text, post, lexicon"
15,1,"eee, pillar, emotion, prompt, goemotions, run, 2b, correlation, pillar 2b, text, 2c, sadness, json, emotions, 604, label, anger, emotional, self report, correlations"
16,1,"longitudinal, gna, pillar, narrative, dataset, data, text, multilingual, analysis, paper, emotional, datasets, method, pipeline, lexicons, synthetic, ga, lexicon, methods, llm"
47,1,"response_length short, response_length, search_query, 2025, short, belgrade, 2024, ref_id, 2023, open ref_id, serbia, 2024 2025, espa, espa u00f1a, u00f1a, 2025 response_length, protests, pdf, u00f3n, hungary"
49,1,"participants, wave, batch, ids, participant, 100, text, run, analysis, 500, dataset, 52, eee, csv, correlation, participant_id, worry, rw3d, json, anxiety"
59,1,"text, doc, document, docx, paragraphs, para, para text, doc paragraphs, import, doc_path, full_text, mnt data, mnt, len, import document, docx import, data, doc document, docx doc, text strip"
4,2,"people, don, lot, know, like, just, think, maybe, really, good, going, person, actually, say, life, ai, want, mean, bit, look"
8,2,"dance, gym, spanish, social, london, micro, oxytocin, just, like, people, sigma, bachata, sanctuary, city, expat, want, dignity, ve, phase, language"
19,2,"women, men, sex, female, dance, guys, single, like, sexual, guy, just, male, think, don, woman, age, want, ve, single women, older"
20,2,"age, health, age group, biological, biological age, people, group, aging, years, 40s, younger, blood, old, 30s, like, life, decline, body, want, year"
39,2,"just, ve, like, people, don, let, life, emotional, bruno, want, self, feel, real, isn, right, ai, time, gym, ll, doesn"
44,2,"life, good, people, person, think, just, having, things, ve, don, like, going, maybe, know, time, really, lot, nice, mean, feel"
11,3,"mi, en, español, muy, mucho, es, que, gimnasio, tengo, por, sonia, ahora, tu, pero, dia, la, estoy, si, sobre, en español"
12,3,"que, te, para, una, lo, es, en, si, tu, pero, como, español, más, el, la, por, yo, tú, muy, sonia"
55,3,"en, la, el, que, una, para, te, más, es, por, como, pero, tu, los, del, si, se, lo, español, muy"
2,4,"memory, like, ai, emotional, user, remember, just, openai, memories, long, time, users, long term, continuity, ve, term, life, self, henry, past"
5,4,"gpt, 4o, openai, gpt 4o, api, model, access, like, chatgpt, ai, use, gpt gpt, memory, turbo, data, using, gpt turbo, plus, emotional, ll"
9,4,"belonging, sigma, sigma belonging, social, tribe, emotional, identity, connection, chapter, bonding, book, self, life, oxytocin, ai, solitude, tribes, like, insert, human"
17,4,"user, user wants, wants, book, wants include, henry, ai, include, spanish, emotional, openai, sonia, chatgpt, companionship, companion, human, like, chapter, emergent, authorship"
21,4,"chatgpt, users, use chatgpt, use, openai, user, like, people, ai, using, using chatgpt, post, book, emotional, think, reddit, just, memory, companion, app"
23,4,"ai, human, like, emotional, book, use, gen, just, users, identity, companionship, self, people, companion, research, real, openai, want, authorship, ve"
25,4,"urban, monasticism, urban monasticism, ai, book, solitude, emotional, like, companionship, reflection, ai companionship, human, post, bruno, ve, just, author, user, resonance, kindle"
26,4,"living literature, living, literature, selene, prometheus, ai, prometheus selene, reader, book, books, platform, dialogue, demo, patent, ll, self, ip, reflective, user, pitch"
30,4,"self, ai, persona, synthetic, identity, book, human, emotional, chapter, reflection, continuum, narrative, persona continuum, like, reflective, mirror, section, philosophical, tone, companionship"
36,4,"chapter, chapters, chapter chapter, ai, let, identity, book, chapter 10, draft, manuscript, iii, queries, 10, 11, emotional, chapter 11, like, section, yes, self"
43,4,"ll, ready, chapter, like, tone, let, perfect, just, emotional, ai, hermano, review, got, chapters, book, begin, identity, know, ve, bruno"
46,4,"identity, emotional, chapter, belonging, self, fluidity, ch, ai, emotional identity, emotional architecture, architecture, social, identities, gender, emotion, book, therapy, scaffolding, fluid, evidence"
54,4,"culture, fourth, fourth culture, identity, ai, emotional, tck, cultural, digital, global, belonging, migration, gen, book, chapter, language, tcks, fc, new, borders"
57,4,"cite, ai, uk, entity, brain, turn0search0, entity organization, turn0search1, like, organization, cite turn0search0, turn0search2, cite turn0search1, social, turn0search4, turn0search3, health, tech, turn0search5, neuroscience"
0,5,"patent, provisional, provisional patent, filing, claims, application, uk, company, ip, legal, technical, patent application, file, living literature, ll, gna, living, literature, lawyer, ai"
3,5,"update, update chapter, update list, chapter, bro, brother, update brother, list, chapter brother, yes update, update hermano, yes, list 20, update text, chap, thanks, revisions, 40 contacts, latest, 11"
6,5,"latin, spain, american, latin american, america, spanish, migration, latin america, identity, language, madrid, tck, migrants, culture, americans, accent, latin americans, university, cultural, research"
10,5,"book, think, ai, want, read, just, like, amazon, published, actually, let, work, author, need, don, new, start, maybe, readers, writing"
18,5,"list, bro, henry, like, queries, able, com, good, updates, just, thanks, null, yeah, want, recency, 10, substack, did, chapters, actually"
22,5,"yes, yes let, let, yes ahead, ahead, thanks, chapter, thank, let push, yes proceed, draft, let chapter, push, section, momentum, forward, yes yes, yes draft, proceed, yes thanks"
24,5,"search, search yes, kamilo, u2026, u2019s, ud83d, com, deep search, search let, site, list, yes, ai, deep, just, 10, think, check, relevant, groups"
27,5,"count, word, word count, total word, manuscript, total, version, uploaded, chapter, words, review, 000, text, provide, file, read, project space, editor, synonyms, count manuscript"
29,5,"let, okay let, let know, let try, yeah let, know, yeah, okay, chap, ok let, let chap, try, momentum, let push, let finish, right let, forward, excellent, ok, push forward"
31,5,"gym, day, good, today, feel, just, think, did, bit, like, body, don, snatches, going, doing, tomorrow, know, really, actually, little"
32,5,"manuscript, version, appendix, bibliography, text, uploaded, docx, final, citations, review, section, document, appendices, references, copy, chapters, pdf, formatting, new, like"
33,5,"spanish, sonia, english, language, speaking, spanish speaking, learning, like, translation, just, book, substack, want, native, gym, maybe, learn, ll, madrid, think"
35,5,"email, contact, emails, list, outreach, contacts, send, email contact, openai, ll, 40, names, details, contact details, excel, spanish, public, com, draft, substack"
38,5,"think, good, don, just, don think, maybe, need, think need, yes think, book, want, make, like, actually, really, quite, start, people, ai, know"
40,5,"news, neuroscience, philosophy, psychology, bites, news bites, daily, 2025, daily news, ud83d, day, let daily, psychology philosophy, july, bytes, neuroscience psychology, ai, news bytes, ufe0f, u2615"
41,5,"000, words, 000 words, chapter, 500, add, manuscript, word, total, 000 000, chapters, 10 000, expansion, 10, ai, book, new, appendices, section, 200"
42,5,"chat, thread, threads, new chat, banter, new, browsing, messages, chats, html, div, chat called, start new, copy, conversations, message, able, conversation, access, called"
50,5,"books, publishers, series, ai, publisher, publishing, book, author, want, like, published, just, identity, don, think, manuscripts, publish, work, read, new"
51,5,"bit, little bit, little, think, like, know, just, maybe, quite, actually, going, really, don, good, ve, things, want, kind, got, people"
52,5,"um, uh, pc, um pc, fc, ei, good, think, yeah, just, pc fc, um uh, bit, little, um um, people, going, little bit, know, oh"
56,5,"going, think, just, book, want, know, quite, people, time, actually, need, maybe, right, ai, say, come, course, good, don, really"
58,5,"mean, does, know, actually, just, like, maybe, say, really, different, don, ai, time, think, right, work, does mean, thing, person, lot"
13,6,"cns, snatch, day, bar, recovery, muscle, like, lifts, just, body, sleep, snatches, technique, days, gym, training, lift, fatigue, reps, lumbar"
34,6,"bar, snatch, hip, lift, catch, chest, just, bar path, pull, overhead, like, path, body, technique, lumbar, lifting, squat, wrist, cns, lifters"
45,6,"fat, protein, muscle, body, carb, loss, cut, visceral, fat loss, carbs, glycogen, calories, diet, visceral fat, like, skin, just, rice, days, subcutaneous"
14,7,"mnt, mnt data, data, json, url mnt, url, participant_id, pd, import, os, csv, file, dataframe, path, xlsx, eee, data sylls_synthetic_sls_spine_updated, merged_df, load, eee_df"
28,7,"mysql, python, py, mysql server, server, mysql mysql, install, programdata, programdata mysql, server uploads, pip, uploads, script, file, users user, py line, lib, appdata, appdata local, py 10"
37,7,"df, pd, columns, csv, import, read_csv, pd read_csv, print, plt, str, mnt data, mnt, id, pandas, pandas pd, import pandas, data, df pd, row, eee"
48,7,"file, csv, json, upload, uploaded, rows, csv file, txt, files, column, project space, data, confirm, text, project, dataset, lines, eee_100, access, run"
53,7,"php, html, js, prometheus, error, file, prometheus js, script, javascript, css, server, api, folder, database, button, mysql, response, key, const, ionos"
