window_start_index,window_end_index,combined_entropy,user_entropy,mid_timestamp
0,250,1.9945529262671728,1.7580948580099143,2025-05-10 19:30:03.659790+00:00
250,500,1.9981796514276509,1.9882284495322367,2025-05-14 06:44:01.720040+00:00
500,750,2.2891606433268112,2.2330992020263802,2025-05-16 16:20:57.977546+00:00
750,1000,2.4252519952804805,2.2477445088616337,2025-05-18 16:41:09.582234+00:00
1000,1250,2.371106473833693,2.3871944861839243,2025-05-20 06:52:49.795628+00:00
1250,1500,2.316532423267297,2.009613180499254,2025-05-23 05:35:15.167298+00:00
1500,1750,2.186892649269254,1.7810293856788757,2025-05-24 07:39:53.036000+00:00
1750,2000,2.4319140911677835,2.1068734703778067,2025-05-25 16:25:21.043162+00:00
2000,2250,2.4265981831875467,2.0811764297102577,2025-05-27 13:08:55.793473+00:00
2250,2500,2.417794254812439,2.1407469971043285,2025-05-29 14:54:10.726220+00:00
2500,2750,2.480652307753468,2.1953860873375315,2025-06-01 16:16:39.983505+00:00
2750,3000,2.46073376278394,1.9108083476254998,2025-06-05 13:16:39.552099+00:00
3000,3250,2.3484804224044686,2.085493963960263,2025-06-10 10:20:37.332826+00:00
3250,3500,2.3307799036215124,2.0452963965498494,2025-06-15 18:50:13.173385+00:00
3500,3750,2.1201420811646767,1.8642356712370722,2025-06-22 12:01:05.305669+00:00
3750,4000,2.2847302338943756,2.299102253823692,2025-06-25 07:30:29.513000+00:00
4000,4250,2.2904395522088925,2.090044674974298,2025-06-27 16:39:58.881308+00:00
4250,4500,2.1792459010156824,1.8144505362030443,2025-07-01 14:58:59.548260+00:00
4500,4750,2.2262555589968045,2.1171895595068246,2025-07-05 15:37:57.763761+00:00
4750,5000,1.9965925865551089,1.8850195790970112,2025-07-10 17:53:27.039562+00:00
5000,5250,2.2903856081714222,2.1873518599479365,2025-07-14 16:26:30.132798+00:00
5250,5500,2.1029302630695534,2.282172711180534,2025-07-17 12:32:08.146420+00:00
5500,5750,2.129020258578274,2.1287634467205803,2025-07-19 16:32:07.733029+00:00
5750,6000,2.282524608777783,2.3452083111186597,2025-07-22 13:01:22.856718+00:00
6000,6250,2.3110254779326422,2.3037362717491665,2025-07-24 18:15:52.827260+00:00
6250,6500,2.116620243592763,2.085750556896175,2025-07-28 14:51:09.994055+00:00
