thread_id,initiator_role,from_domain,to_domain
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,6,1
679dedf7-6acc-8008-b52a-e1b596ce03d6,user,1,4
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,4,6
679dedf7-6acc-8008-b52a-e1b596ce03d6,user,6,5
679dedf7-6acc-8008-b52a-e1b596ce03d6,user,5,6
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,6,5
679dedf7-6acc-8008-b52a-e1b596ce03d6,user,5,6
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,6,5
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,5,4
679dedf7-6acc-8008-b52a-e1b596ce03d6,user,4,6
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,6,5
679dedf7-6acc-8008-b52a-e1b596ce03d6,user,5,6
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,6,5
679dedf7-6acc-8008-b52a-e1b596ce03d6,assistant,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,1
681f0e05-2c28-8008-8723-0c83c98fddb1,user,1,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,1
681f0e05-2c28-8008-8723-0c83c98fddb1,user,1,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,2
681f0e05-2c28-8008-8723-0c83c98fddb1,user,2,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,2
681f0e05-2c28-8008-8723-0c83c98fddb1,user,2,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,2
681f0e05-2c28-8008-8723-0c83c98fddb1,user,2,6
681f0e05-2c28-8008-8723-0c83c98fddb1,user,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,2
681f0e05-2c28-8008-8723-0c83c98fddb1,user,2,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,user,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,user,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,7
681f0e05-2c28-8008-8723-0c83c98fddb1,user,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,4
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,4,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,7
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,7,5
681f0e05-2c28-8008-8723-0c83c98fddb1,user,5,6
681f0e05-2c28-8008-8723-0c83c98fddb1,user,6,5
681f0e05-2c28-8008-8723-0c83c98fddb1,assistant,5,2
