thread_id,thread_title,thread_create_time,thread_create_time_iso,thread_update_time,thread_update_time_iso,num_nodes_in_tree,num_nodes_in_main_path,num_user_msgs_main_path,num_assistant_msgs_main_path,main_path_text_chars
693d9e77-4d38-8330-adcb-a62be8e60d22,TBC....Book dev,1765645944.722919,2025-12-13T17:12:24.722919+00:00,1765814857.148195,2025-12-15T16:07:37.148195+00:00,188,186,63,76,946584
69241ffd-12f0-832e-8d62-13057bac90b8,Build GA Biobank Demo,1763975167.605577,2025-11-24T09:06:07.605577+00:00,1765811307.656003,2025-12-15T15:08:27.656003+00:00,1730,1587,318,654,6038274
68c6aac0-0814-832c-8bff-2698c8ff9075,Fitness Chat 2.0,1757850305.635906,2025-09-14T11:45:05.635906+00:00,1765802118.970092,2025-12-15T12:35:18.970092+00:00,1097,1095,459,586,1529152
69234b52-2cdc-832a-b869-1bd21ece1bf6,Sigma Banter Nov 25,1763920730.611743,2025-11-23T17:58:50.611743+00:00,1765796806.362973,2025-12-15T11:06:46.362973+00:00,326,326,122,161,512176
68b559c0-a794-832d-9494-bc8167393bd8,Existentialism chat v2.0,1756715457.468283,2025-09-01T08:30:57.468283+00:00,1765794402.599575,2025-12-15T10:26:42.599575+00:00,918,918,271,466,1050781
6932e73f-3fd4-8333-a020-96fc8460bba8,Patent GNA,1764943680.126727,2025-12-05T14:08:00.126727+00:00,1765728885.200444,2025-12-14T16:14:45.200444+00:00,167,164,49,64,1063771
69247b8f-066c-8329-9451-c021cf4f667d,Pillar 1 interpretation,1763998611.337305,2025-11-24T15:36:51.337305+00:00,1765722886.63121,2025-12-14T14:34:46.631210+00:00,455,414,77,152,959005
6929ac8b-c6d0-8329-90ed-bd422555d0b3,Authorship platform strategy,1764338830.181084,2025-11-28T14:07:10.181084+00:00,1765709524.54367,2025-12-14T10:52:04.543670+00:00,46,46,15,19,112803
6898a9e5-ec50-8324-b103-f5d9a4503fca,Identity book series,1754835432.140873,2025-08-10T14:17:12.140873+00:00,1765389732.50938,2025-12-10T18:02:12.509380+00:00,1151,1138,333,473,6742132
6931caba-75d8-832f-89ef-e59ee4f4d972,Pillars 1-4 manus,1764870844.81087,2025-12-04T17:54:04.810870+00:00,1765384943.882261,2025-12-10T16:42:23.882261+00:00,1045,1015,260,514,2624276
68b1594c-d92c-832c-ade9-729902234743,BTB discussion setup,1756453197.47592,2025-08-29T07:39:57.475920+00:00,1765353873.613926,2025-12-10T08:04:33.613926+00:00,27,27,9,12,27676
6935d4e9-ea34-8333-af9d-c68c3ba8fe14,EEE-2B-2C,1765135597.065965,2025-12-07T19:26:37.065965+00:00,1765212096.542507,2025-12-08T16:41:36.542507+00:00,331,331,79,147,970239
69301b7b-d53c-8325-99a6-c27b5d9b0d21,Ai crash course,1764760444.637107,2025-12-03T11:14:04.637107+00:00,1765134802.056478,2025-12-07T19:13:22.056478+00:00,30,30,7,10,235166
69247bd4-de98-8328-af1e-5b88c151e329,Pillar 2 summary,1763998679.504572,2025-11-24T15:37:59.504572+00:00,1764870267.557238,2025-12-04T17:44:27.557238+00:00,1402,1317,261,558,4884313
6904c45f-d168-832b-9d02-21ec455d41a0,Business strategy outline,1761920097.094802,2025-10-31T14:14:57.094802+00:00,1764691686.774102,2025-12-02T16:08:06.774102+00:00,1239,1210,366,472,3684883
692ef6f2-3f00-832f-a539-5698db9655ec,Hybrid publishing offer analysis,1764685556.157833,2025-12-02T14:25:56.157833+00:00,1764686456.586511,2025-12-02T14:40:56.586511+00:00,23,23,5,5,555491
68daab91-ec94-8320-bddb-f8047be97d60,Digital Monk Guide,1759161234.544904,2025-09-29T15:53:54.544904+00:00,1764619659.043238,2025-12-01T20:07:39.043238+00:00,461,456,121,219,1863616
68ecaed3-1d24-8330-8174-b1c567e6191d,Expansion strategy draft,1760341716.749523,2025-10-13T07:48:36.749523+00:00,1764524432.77007,2025-11-30T17:40:32.770070+00:00,651,645,173,271,5016074
692c566f-425c-8333-b16a-bf4912f5ebcf,Internal evolution and AI,1764513392.305702,2025-11-30T14:36:32.305702+00:00,1764517620.194838,2025-11-30T15:47:00.194838+00:00,14,14,4,5,16278
6912dc5a-cc64-8328-98e4-e6c32f6fd1da,Prometheus Selene demo setup,1762843739.836365,2025-11-11T06:48:59.836365+00:00,1763974837.480798,2025-11-24T09:00:37.480798+00:00,583,544,177,217,1696319
68b46172-1508-832a-b737-e6459f52bd94,Banter Sigma Nirvana Sep,1756651892.73332,2025-08-31T14:51:32.733320+00:00,1763920709.010956,2025-11-23T17:58:29.010956+00:00,2637,2619,786,1287,3225163
69208845-f998-832d-92d0-2514835ae2c5,Site expansion plan,1763739720.248774,2025-11-21T15:42:00.248774+00:00,1763827669.231237,2025-11-22T16:07:49.231237+00:00,204,126,20,27,2240596
6914ba86-af60-8333-871b-a7e5289578bc,Manuscript review and critique,1762966152.237137,2025-11-12T16:49:12.237137+00:00,1763565485.616576,2025-11-19T15:18:05.616576+00:00,286,286,42,144,1305389
68ecb1f0-37c8-8333-bc8e-58200bc3d810,Expansion strategy draft,1760342513.368226,2025-10-13T08:01:53.368226+00:00,1763390342.332181,2025-11-17T14:39:02.332181+00:00,448,442,148,195,2286374
68f201a5-7f10-8331-9438-409d450fdabd,Book revision plan,1760690598.225942,2025-10-17T08:43:18.225942+00:00,1763313200.379114,2025-11-16T17:13:20.379114+00:00,702,702,200,316,4242164
690f693f-c978-8328-a508-0c544d97d08e,Towards a proofreading version,1762617666.228702,2025-11-08T16:01:06.228702+00:00,1763049016.78267,2025-11-13T15:50:16.782670+00:00,148,148,44,63,1362148
6910921b-8c8c-832a-ab1a-1f0dbe1d24ed,Bonding Beyond Tribes,1762693686.634782,2025-11-09T13:08:06.634782+00:00,1762709211.120088,2025-11-09T17:26:51.120088+00:00,13,13,3,4,251255
6874051f-23c8-8008-9696-d16e250deaf7,Writing the book,1752433952.565468,2025-07-13T19:12:32.565468+00:00,1762616684.889923,2025-11-08T15:44:44.889923+00:00,601,601,220,278,2304364
68ecae08-6f84-832f-a289-d9f497e27fc5,PC expansion strategy,1760341513.551861,2025-10-13T07:45:13.551861+00:00,1762512135.966606,2025-11-07T10:42:15.966606+00:00,576,550,132,238,3833227
68b17bad-4408-8322-958b-2a85e0f0f825,Sigma Belonging overview,1756462015.4845,2025-08-29T10:06:55.484500+00:00,1762023476.636418,2025-11-01T18:57:56.636418+00:00,674,650,211,299,2944547
68ff793b-4a14-8331-879d-57432e87da4d,Research on System 0,1761573180.012679,2025-10-27T13:53:00.012679+00:00,1761996576.286042,2025-11-01T11:29:36.286042+00:00,32,32,7,15,80761
68f9f85e-b264-832e-9334-adf7211cdddd,Book structure proposal,1761212513.293787,2025-10-23T09:41:53.293787+00:00,1761403598.333146,2025-10-25T14:46:38.333146+00:00,23,23,4,6,473008
68ecacdb-8430-832a-aaf4-48442747c826,UM-expansion,1760341212.318282,2025-10-13T07:40:12.318282+00:00,1761056182.720269,2025-10-21T14:16:22.720269+00:00,140,140,39,52,1945782
68f78822-a4a0-832e-af47-6df42908f85a,Publisher rejection analysis,1761052708.67777,2025-10-21T13:18:28.677770+00:00,1761052743.045308,2025-10-21T13:19:03.045308+00:00,12,12,1,2,236730
68d50d22-9f5c-8321-86c0-9e4b26e10f57,Manuscript defensibility analysis,1758792998.32212,2025-09-25T09:36:38.322120+00:00,1760342197.835846,2025-10-13T07:56:37.835846+00:00,26,26,9,12,33383
68971a0a-1e50-8321-8d37-db588d9682ea,Final Inheritors outline,1754733081.223345,2025-08-09T09:51:21.223345+00:00,1758792540.734384,2025-09-25T09:29:00.734384+00:00,129,129,38,57,227871
687fc0d8-9784-832c-85fa-cdbe80ada3f0,Book identity ,1753202907.083615,2025-07-22T16:48:27.083615+00:00,1757952370.161726,2025-09-15T16:06:10.161726+00:00,997,982,259,387,7061697
687b4b94-9364-8008-af0c-f99c410e0448,Fitness coach,1752910740.748339,2025-07-19T07:39:00.748339+00:00,1757849967.415981,2025-09-14T11:39:27.415981+00:00,763,762,323,403,794692
6887a1d8-90c8-8320-810d-48e456b781cc,Identity fluidity in Latin America,1753719258.65061,2025-07-28T16:14:18.650610+00:00,1757686298.468871,2025-09-12T14:11:38.468871+00:00,249,249,65,119,742225
68b099fb-d364-832a-b8a4-ae45f581ea5e,UM version 2 revisions,1756404223.647351,2025-08-28T18:03:43.647351+00:00,1756916721.501132,2025-09-03T16:25:21.501132+00:00,120,120,32,51,744940
68b6e2ae-e894-832c-ab9b-ae6fe97a7e2f,Analysis critique summary,1756816053.208739,2025-09-02T12:27:33.208739+00:00,1756916267.261249,2025-09-03T16:17:47.261249+00:00,36,29,7,11,628814
683088e8-af30-8008-afde-0f7e7740d644,Existentialism Chat,1748011241.00297,2025-05-23T14:40:41.002970+00:00,1756650931.004167,2025-08-31T14:35:31.004167+00:00,715,706,265,386,882166
68886fef-53c4-8323-923b-688c95308049,Banter Sigma-Nirvana Aug 25,1753772017.085347,2025-07-29T06:53:37.085347+00:00,1756641460.589399,2025-08-31T11:57:40.589399+00:00,1015,1014,347,523,1139666
685eda38-6274-8008-a11f-520e28e07f3a,Publication Strategy Summary,1751046712.762206,2025-06-27T17:51:52.762206+00:00,1756479785.769577,2025-08-29T15:03:05.769577+00:00,543,386,131,193,1786528
682f43c6-7f48-8008-b895-50bce9018e8b,UMNew Project Overview,1747928007.472727,2025-05-22T15:33:27.472727+00:00,1756392945.494683,2025-08-28T14:55:45.494683+00:00,693,693,182,297,1526763
68243bb1-e3c0-8008-b5a1-0aa3e892e018,Práctica con Sonia,1747205042.735086,2025-05-14T06:44:02.735086+00:00,1756144597.791127,2025-08-25T17:56:37.791127+00:00,1138,1127,502,594,590638
6830a378-1bb8-8008-91f4-534779fcbb8b,Traducción Español completada,1748018041.08053,2025-05-23T16:34:01.080530+00:00,1754913245.643203,2025-08-11T11:54:05.643203+00:00,586,581,153,275,822408
